Year,GDP Per Capita,,
1960,456.83,,
1961,471.69,,
1962,495.97,,
1963,523.4,,
1964,561.42,,
1965,599.15,,
1966,636.79,,
1967,663.88,,
1968,701.85,,
1969,758.18,,
1970,812.22,,
1971,878.59,,
1972,993.03,,
1973,1188.12,,
1974,1343.08,,
1975,1468.78,,
1976,1568.57,,
1977,1743.37,,
1978,2025.85,,
1979,2302.88,,
1980,2552.06,,
1981,2594.26,,
1982,2522.47,,
1983,2527.38,,
1984,2582.87,,
1985,2659.17,,
1986,3090.05,,
1987,3457.79,,
1988,3792.79,,
1989,3895.5,,
1990,4318.91,,
1991,4428.11,,
1992,4658.73,,
1993,4662.17,,
1994,4944.94,,
1995,5422.2,,
1996,5462.49,,
1997,5364.55,,
1998,5276.64,,
1999,5402.58,,
2000,5508.43,,
2001,5401.4,,
2002,5536.51,,
2003,6129.1,,
2004,6820.3,,
2005,7293.72,,
2006,7805.61,,
2007,8687.43,,
2008,9429.27,,
2009,8832.3,,
2010,9558.02,,
2011,10473.74,,
2012,10575.66,,
2013,10738.32,,
2014,10898.72,,
2015,10156.95,,
2016,10208.87,,
2017,10746.86,,
2018,11290.1,,
2019,11330.45,,
2020,10895.74,,
2021,12335.86,,
