year_ref,global_temperature,sea_level,carbon_emissions_per_capita,AvgTemp
1880,8.11875,0,11.62712692,17.70110292
1881,8.270916667,0.220472441,12.17874441,17.78667412
1882,8.128916667,-0.440944881,12.76132499,17.81430191
1883,7.976916667,-0.232283464,13.38087075,17.97513796
1884,7.773666667,0.590551181,14.00738956,17.7648336
1885,7.919666667,0.531496062,14.63858226,17.70306353
1886,7.9545,0.437007874,15.27966318,17.93213318
1887,7.914916667,0.216535433,15.95281555,17.82035836
1888,8.0905,0.299212598,16.69818078,17.72149718
1889,8.319,0.362204724,17.44327808,18.14369005
1890,7.971666667,0.440944881,18.25506247,18.06721701
1891,8.019333333,0.374015748,19.10462499,18.19210735
1892,8.065833333,0.499999999,19.96121323,18.21535099
1893,8.05675,0.685039369,20.80754914,18.13537994
1894,8.161,0.303149606,21.68340773,18.24593562
1895,8.147,0.767716535,22.61210807,18.25170235
1896,8.214916667,0.468503937,23.57111198,18.34111205
1897,8.293333333,0.673228346,24.57551514,18.47770077
1898,8.178,1.043307086,25.63495845,18.37371055
1899,8.396333333,1.338582676,26.79234964,18.43926092
1900,8.501583333,1.125984251,28.01316696,18.51194164
1901,8.541916667,1.110236219,23.41951856,18.48478206
1902,8.304416667,1.291338581,24.45406728,18.32690744
1903,8.220166667,1.606299211,25.58270202,18.43477083
1904,8.090916667,1.2007874,26.72331438,18.211075
1905,8.225166667,0.984251968,27.93764826,18.39950868
1906,8.379083333,1.251968503,29.21308116,18.4814191
1907,7.947166667,1.196850392,30.6554111,18.13679879
1908,8.186083333,1.098425196,32.04326285,18.28718128
1909,8.17825,1.27559055,33.48590972,18.34412778
1910,8.223,1.271653542,34.99891822,18.38008125
1911,8.177,1.598425195,36.53953678,18.40820243
1912,8.165416667,1.476377951,38.15289674,18.46474097
1913,8.29775,1.547244093,39.8985784,18.49148958
1914,8.5905,1.795275589,41.4826172,18.66060243
1915,8.593166667,2.10629921,43.04519595,18.71123993
1916,8.22525,2.031496061,44.73135776,18.55187743
1917,8.023333333,1.854330707,46.49554628,18.24255417
1918,8.130833333,1.791338581,48.23588949,18.39374028
1919,8.38225,1.854330707,49.7442099,18.53186146
1920,8.35875,1.905511809,51.5,18.5311352
1921,8.571,1.988188974,53,18.60576308
1922,8.408,1.952755904,54.5,18.50415313
1923,8.422166667,1.999999998,56.5,18.56541944
1924,8.506833333,1.712598423,58.5,18.62185903
1925,8.534416667,1.791338581,60,18.5889132
1926,8.728833333,2.047244092,62,18.86793229
1927,8.522083333,2.003937006,64,18.73918194
1928,8.632166667,1.850393699,51.08291357,18.73845903
1929,8.242416667,1.905511809,52.63088067,18.48581944
1930,8.633583333,2.062992124,54.17884777,18.84381291
1931,8.71925,2.047244092,55.72681487,18.7554
1932,8.70525,2.271653541,56.8877902,18.74608264
